num_ants,num_iterations,pheromone_decay,alpha,beta,avg_fitness,avg_max_fitness,avg_min_fitness,avg_fitness_percentage,avg_unscheduled_surgeries,avg_remaining_room_time,avg_remaining_surgeon_time
10,10,0.1,1,2,177.6,182.0,176.0,89.75742874469375,2.8,1035.4,3435.4
10,10,0.1,1,4,179.0,192.0,174.0,89.52395391146149,2.4,1022.0,3422.0
10,10,0.1,1,6,179.2,186.0,171.0,88.76288659793815,2.8,1036.8,3436.8
10,10,0.1,3,2,183.0,192.0,174.0,89.70588235294117,2.4,1020.4,3420.4
10,10,0.1,3,4,177.0,180.0,171.0,86.76470588235296,3.0,1072.8,3472.8
10,10,0.1,3,6,181.4,186.0,179.0,90.73074590661008,2.8,1045.2,3445.2
10,10,0.1,5,2,180.8,189.0,176.0,90.45178896300789,3.0,1014.2,3414.2
10,10,0.1,5,4,182.4,189.0,180.0,89.41176470588236,3.4,1007.0,3407.0
10,10,0.1,5,6,182.8,189.0,174.0,90.52759248029108,2.4,1008.8,3408.8
10,10,0.3,1,2,179.0,183.0,176.0,89.52395391146149,2.6,1051.0,3451.0
10,10,0.3,1,4,181.2,186.0,177.0,88.8235294117647,3.0,1016.6,3416.6
10,10,0.3,1,6,179.6,188.0,174.0,89.87871437234688,2.4,1055.0,3455.0
10,10,0.3,3,2,182.2,186.0,177.0,90.24863553668891,2.6,991.0,3391.0
10,10,0.3,3,4,183.6,186.0,180.0,90.0,2.2,1072.6,3472.6
10,10,0.3,3,6,182.2,186.0,177.0,90.23347483323226,3.0,987.8,3387.8
10,10,0.3,5,2,179.2,186.0,174.0,88.76288659793815,2.6,1028.6,3428.6
10,10,0.3,5,4,183.8,192.0,176.0,91.90721649484536,2.4,955.8,3355.8
10,10,0.3,5,6,185.4,195.0,180.0,90.88235294117646,2.4,961.2,3361.2
10,10,0.5,1,2,180.6,186.0,174.0,88.52941176470588,2.8,1047.2,3447.2
10,10,0.5,1,4,183.6,189.0,180.0,90.00000000000001,2.6,971.0,3371.0
10,10,0.5,1,6,181.0,186.0,176.0,89.61491813220132,2.8,1042.4,3442.4
10,10,0.5,3,2,179.4,183.0,174.0,90.6701030927835,2.8,1023.4,3423.4
10,10,0.5,3,4,183.2,186.0,180.0,91.64342025469982,2.0,926.4,3326.4
10,10,0.5,3,6,184.6,192.0,176.0,91.37962401455428,2.6,945.0,3345.0
10,10,0.5,5,2,179.6,186.0,170.0,89.78775015160704,3.4,1047.2,3447.2
